beneficiary_id,name,phone,address,bank_account,scheme,amount,district,date,same_bank_count,same_address_count,anomaly
0,Lisa Prince,424.716.4529x68540,"109 Rivera Shoal
Vargasport, MD 77490",17747322,Farmer Aid,2000,Salinastown,2007-06-06,1,1,1
1,Chelsea Wells,001-541-579-4660,"7889 Powell Valleys Suite 866
New Veronica, AL 76439",64376093,Food Subsidy,2000,New Jonathonhaven,1998-12-03,1,1,1
2,Mr. Ronald Fields,(902)989-8629x600,"810 Martin Road
Richardchester, KY 94975",62470149,Food Subsidy,10000,Floresberg,2013-10-05,1,1,1
3,Kara Taylor,001-847-911-8535x933,"721 Patel Mount Apt. 068
Steinmouth, AL 84433",86129674,Scholarship,5000,Sandramouth,2001-12-30,1,1,1
4,John Thomas,235-711-5303,"22978 Mallory Motorway Apt. 810
Jamesview, VA 52750",95461724,Food Subsidy,10000,Jaredstad,1996-11-30,1,1,1
5,Phillip Cowan,(239)949-9979,"9710 Lowe Summit
Lake Michael, MS 35748",95919929,Farmer Aid,5000,Nguyenfurt,2013-12-16,1,1,1
6,Chase Deleon,903-825-7625x3116,"PSC 1723, Box 6099
APO AE 94390",13458270,Farmer Aid,5000,Millerview,1995-04-28,1,1,1
7,Jeremy Craig,762.592.1212x0218,"481 Wong Mills
Pearsonstad, IL 55884",27692315,Food Subsidy,5000,South Sarah,2020-10-31,1,1,1
8,Karen Livingston,2854769120,"9396 Monica Row
New Nicholasview, OR 85061",97199459,Farmer Aid,5000,North Alexander,2018-03-13,1,1,1
9,Sonya Flores,4475240752,"89418 Kennedy Wells
New Samantha, AR 35489",71698710,Scholarship,2000,Lake Jeremyfurt,1999-05-13,1,1,1
10,Justin Finley,933.595.3204x6829,"5709 Jeanette Throughway
Sophiaburgh, AL 05264",62290974,Farmer Aid,2000,West Jamesport,1975-10-22,1,1,1
11,James Reed,406.210.2654,"90798 Jane Locks Suite 651
Lake Brendaport, ND 85673",93048867,Food Subsidy,10000,New Austinborough,1982-01-10,1,1,1
12,Krista Finley,(375)235-7288x06006,"45504 Alyssa Bypass
Port Ian, NC 42684",84439235,Scholarship,2000,Port Dwayne,1991-01-13,1,1,1
13,Gilbert Ramirez,001-457-289-1925x85227,"91183 Nicole Divide
Arthurton, MO 59595",55009401,Scholarship,2000,Evanschester,2015-09-09,1,1,1
14,Colton Reynolds,845-658-7154,"15007 Destiny Spur Suite 238
Davidstad, MD 98773",52037910,Scholarship,5000,Lake Carlos,2015-09-28,1,1,1
15,Lisa Hayes,4444637876,"9040 Lawson Hill Suite 184
New Monica, CT 71949",11201450,Food Subsidy,2000,South David,1988-10-12,1,1,1
16,Julia Salazar,001-470-245-2747,"327 Allen Forks Apt. 817
Taraton, AL 85010",94281511,Scholarship,10000,Mitchellton,1999-03-26,1,1,1
17,Leonard Williams,001-907-467-8343x8905,"62097 Kimberly View
East Scottmouth, CO 66574",89622752,Scholarship,5000,New Jodychester,2020-02-25,1,1,1
18,Mary Jefferson,492.693.6286x562,"6732 Brianna Place Suite 634
Amandachester, NH 35298",20496558,Food Subsidy,10000,New Eduardo,1990-05-18,1,1,1
19,Ruth Schneider,+1-710-787-0201x2690,"219 Chad Lodge Suite 625
South Tracymouth, CA 81156",22463579,Food Subsidy,10000,Francomouth,2001-09-14,1,1,1
20,Brian James,325.829.9621x5149,"511 Stanley Rapid Apt. 583
Port James, NE 27077",68867584,Scholarship,2000,Port Jasonland,2019-12-30,1,1,1
21,Shane Walsh,+1-619-735-4110x89026,"687 Jackson Wall Suite 331
Margaretmouth, OH 01151",14224554,Farmer Aid,2000,Campbellside,1970-10-25,1,1,1
22,Derrick Powers,001-524-872-3379x4942,"583 Cruz Path
Webertown, NM 53761",75065184,Food Subsidy,10000,Lake Lisa,1976-05-17,1,1,1
23,Patrick Jordan,(610)939-8230,"326 Rodriguez Cape
Port Nicoleview, NH 25762",27070927,Food Subsidy,5000,Maryville,1984-02-21,1,1,1
24,Jonathan Fleming,2995695216,"36204 Kristina Valleys
East Claytontown, PW 18845",52108116,Food Subsidy,10000,Jorgeland,2018-02-17,1,1,1
25,Brian Smith,(287)531-3857,"7783 Lisa Plain
Kellymouth, KY 44966",55828559,Scholarship,2000,New Michaeltown,2010-07-14,1,1,1
26,John Bryan,237-343-3360x55265,"3520 Martinez Burg Suite 905
New Daniel, NH 17507",75852616,Food Subsidy,5000,East Jeremyville,1996-09-10,1,1,1
27,Suzanne Pacheco,944.886.5340,"PSC 8697, Box 1893
APO AP 26605",27485735,Scholarship,10000,Kennethborough,1995-03-29,1,1,1
28,Jerry Jones,378-533-7547x5668,"34992 Mendez Way Apt. 725
Angelaville, MN 38958",67955609,Scholarship,5000,South Richard,2002-03-16,1,1,1
29,Robert Gonzalez,+1-543-408-0018x9108,"10707 Perez Mountain
North Kevin, OH 89750",75945274,Scholarship,2000,West Nicholasshire,1999-04-01,1,1,1
30,Marcus Lewis,+1-930-245-0921,"USNS Ryan
FPO AA 00865",71990214,Food Subsidy,2000,Richardsonmouth,1973-05-27,1,1,1
31,Robert Walker,683.711.2960x0912,"Unit 8680 Box 5419
DPO AP 13493",44363304,Food Subsidy,2000,Hernandezfort,1983-07-11,1,1,1
32,Michael Reed,266.804.2100x2173,"543 Taylor Greens
Tammybury, AZ 42807",44174222,Farmer Aid,5000,Guzmanton,2005-05-10,1,1,1
33,Taylor Doyle,346.506.2108,"71047 Amanda Isle Apt. 549
New Christian, WA 77481",61150419,Scholarship,10000,Josephmouth,1976-08-03,1,1,1
34,Jeffrey Bird,001-761-901-6721x9850,"118 Davis Lakes
Kellymouth, TN 46910",28677787,Food Subsidy,10000,Lake Sheenaberg,2023-04-17,1,1,1
35,Kim Harris,5987344830,"68400 Dominguez Row
North Nicholasmouth, IL 86604",65133159,Food Subsidy,10000,East Lisa,1977-09-01,1,1,1
36,Phillip Nichols,921.400.5233x863,"8526 Oconnor Radial
Chadview, GA 53538",73549668,Food Subsidy,2000,Leefurt,1988-10-01,1,1,1
37,Julie Williams,+1-549-903-2998x79454,"9029 Dean Villages Suite 919
West Keithtown, MS 51210",34178651,Scholarship,10000,Port David,1975-10-22,1,1,1
38,Michael Welch,(497)491-1318x30526,"659 Jennifer Corner
New Lisa, AZ 66259",79330744,Farmer Aid,2000,Thomasberg,1988-03-08,1,1,1
39,Sandra Thompson,7365393397,"3065 John Well Apt. 098
Port Tiffanyfurt, ID 66230",15134625,Scholarship,2000,North Christineborough,2000-02-26,1,1,1
40,Paul Murray,267-769-8679,"839 Kristy Lakes Suite 857
Booneview, NC 36751",76304221,Food Subsidy,10000,Aaronberg,2014-11-11,1,1,1
41,Alexander Reynolds,938-971-5742x92721,"06693 Andrea Lane Suite 238
Joseville, MS 07231",91796792,Food Subsidy,5000,East Whitney,2018-08-07,1,1,1
